CharityID,imgid,CampaignID,Name,active_status,KeyWords,charity_type,hari_description,description,LinktoPayment,Cause,web_link,region,Inception_Date,Sub_causes,tgt_beneficiaries,region_cntry,region_st,region_cty,smedia_acct,insta_link,insta_stats,twitter_link,twitter_stats,fb_link,fb_stats,relief_type,impact_per_1K,entity_provided,cost_per_entity,collective_impact,no_donors,amnt_collected,info_last_updated,Key words,Key words.1
1,1,1,KhaanaChahiye Foundation,A,"Meals,Mumbai, Migrant-Workers, Citizen-Led",Org-Fundraiser,"A citizen-led campaign begun in March 2020 to meet the lockdown-induced food demands of the homeless, migrant workers, daily wage laborers, and other vulnerable populations in Mumbai. ","Khaana Chahiye Foundation started as a citizen-led campaign in March 2020 to meet the immediate, lockdown-induced food demands of the homeless, migrant workers, daily wage labourers, and other vulnerable populations in the city of Mumbai. ",https://fundraisers.giveindia.org/fundraisers/khaanachahiye-mumbai-is-battling-hunger-along-with-covid-19-again,0,https://fundraisers.giveindia.org/fundraisers/khaanachahiye-mumbai-is-battling-hunger-along-with-covid-19-again,2,21 years,,"Migrant Workers, homeless, daily wage labourers, frontline workers, other vulnerable populations",India,Maharashtra,Mumbai,Y,https://www.instagram.com/khaanachahiye/,5545| 433,https://twitter.com/khaanachahiye,4369| NULL,https://www.facebook.com/khaanachahiye/,3612 | NULL,Meal,~150 meals (1 month food for 1 family),"cooked_meal, grocery_kit",7,· 2000+ family grocery kits distributed · 8000 meals served  · 175 volunteers engaged in relief efforts on ground and remotely,9276,"4,75,00,000",11th July 2021,,
2,3,3,Hemkunt,A,"Haryana, oxygen_concentrator_machine,care_center,Covid-Patients ",Org-Fundraiser,"The NGO provides humanitarian aid to marginalized sections of society. The Sikh principle 'Sarbat Da Bhalla' (welfare for all) informs its efforts. The foundation offers livelihoods, helps with disaster relief, and ensures access to human rights and education for all.","Hemkunt Foundation is a non-government organisation that aims to provide humanitarian aid to marginalized sections of society.The organisation is based upon the most popular Sikh principle of ‘Sarbat Da Bhalla’ which means welfare for all. While the efforts of Hemkunt Foundation are in tandem with its principle, it continues to provide livelihoods, disaster relief, access to basic human rights and education to all.",https://hemkuntfoundation.com/donate-now/,1,https://hemkuntfoundation.com/ ,1,11 years,Oxygen,COVID-19 patients,India,Gurugram,Haryana,Y,https://www.instagram.com/hemkunt_foundation/,103K|384,https://twitter.com/Hemkunt_Fdn,19.5K|685,https://www.facebook.com/hemkuntfoundation/,93391| 600+,Oxygen,,"oxygen_concentrator_machine, care_center","9,500",Purchase Oxygen concentrator 10 Ltr capacityAssist up to 500 patients at the centre for oxygenAvailable first aid respondersOpen 24/7 and there to serve everyone.,,,11th July 2021,,
3,5,5,Akshaya Patra,A,"Rajasthan, Karnataka,  Children, Poor,cooked_meal, grocery_kit",Organization,The Akshaya Patra Foundation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in government schools and government-aided schools. ,"The Akshaya Patra Foundation isan NGO in India headquartered in Bengaluru. Our organisation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in the government schools and government-aided schools. Alongside, Akshaya Patra also aims at countering malnutrition and supporting the right to education of socio-economically disadvantaged children.Vision - No child in india shall be deorived of education because of hungerMission- to feed 5 million Children by 2025.",https://www.akshayapatra.org/covid-relief-services,0,https://www.akshayapatra.org,1,21 years,,"Children, poor,people in need",India,"Rajasthan,Karnataka, Telangana, Gujarat, Maharashtra, NCR, Uttar Pradesh, Andhra Pradesh, Tamil Nadu, Chhattisgarh, Odisha, Assam, Madhya Pradesh, Uttarakhand ,Tripura ,West Bengal Punjab ,Jharkhand and Himachal Pradesh.",,N but there are updates on themedia room section of the website,,,,,,,Meal,"Cooked meal 25 RsGrocery kit  825 Rs(contains rice, pulsesoil, spices, vegetablethat can serve 2 pplwith 42 meals for21 days","cooked_meal, grocery_kit",25 Rs and 825 Rs,"12,16,96,864 Cumulative meals and 10,19,876 kits.",,,11th July 2021,,
4,5,5,Akshaya Patra,A,"Rajasthan, Karnataka,  Children, Poor,cooked_meal, grocery_kit",Organization,The Akshaya Patra Foundation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in government schools and government-aided schools. ,"The Akshaya Patra Foundation isan NGO in India headquartered in Bengaluru. Our organisation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in the government schools and government-aided schools. Alongside, Akshaya Patra also aims at countering malnutrition and supporting the right to education of socio-economically disadvantaged children.Vision - No child in india shall be deorived of education because of hungerMission- to feed 5 million Children by 2025.",https://www.akshayapatra.org/covid-relief-services,0,https://www.akshayapatra.org,2,21 years,,"Children, poor,people in need",India,"Rajasthan,Karnataka, Telangana, Gujarat, Maharashtra, NCR, Uttar Pradesh, Andhra Pradesh, Tamil Nadu, Chhattisgarh, Odisha, Assam, Madhya Pradesh, Uttarakhand ,Tripura ,West Bengal Punjab ,Jharkhand and Himachal Pradesh.",,N but there are updates on themedia room section of the website,,,,,,,Meal,"Cooked meal 25 RsGrocery kit  825 Rs(contains rice, pulsesoil, spices, vegetablethat can serve 2 pplwith 42 meals for21 days","cooked_meal, grocery_kit",25 Rs and 825 Rs,"12,16,96,864 Cumulative meals and 10,19,876 kits.",,,11th July 2021,,
5,5,5,Akshaya Patra,A,"Rajasthan, Karnataka,  Children, Poor,cooked_meal, grocery_kit",Organization,The Akshaya Patra Foundation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in government schools and government-aided schools. ,"The Akshaya Patra Foundation isan NGO in India headquartered in Bengaluru. Our organisation strives to eliminate classroom hunger by implementing the Mid-Day Meal Scheme in the government schools and government-aided schools. Alongside, Akshaya Patra also aims at countering malnutrition and supporting the right to education of socio-economically disadvantaged children.Vision - No child in india shall be deorived of education because of hungerMission- to feed 5 million Children by 2025.",https://www.akshayapatra.org/covid-relief-services,0,https://www.akshayapatra.org,0,21 years,,"Children, poor,people in need",India,"Rajasthan,Karnataka, Telangana, Gujarat, Maharashtra, NCR, Uttar Pradesh, Andhra Pradesh, Tamil Nadu, Chhattisgarh, Odisha, Assam, Madhya Pradesh, Uttarakhand ,Tripura ,West Bengal Punjab ,Jharkhand and Himachal Pradesh.",,N but there are updates on themedia room section of the website,,,,,,,Meal,"Cooked meal 25 RsGrocery kit  825 Rs(contains rice, pulsesoil, spices, vegetablethat can serve 2 pplwith 42 meals for21 days","cooked_meal, grocery_kit",25 Rs and 825 Rs,"12,16,96,864 Cumulative meals and 10,19,876 kits.",,,11th July 2021,,
6,6,6,Enrich Lives Foundation,A,"Navi-Mumbai,Thane, cooked_meal,Ration-Kit,Poor, Migrant-Workers",Foundation,A non-profit group whose mission is to ensure that nobody goes to sleep hungry.,We are a group of volunteers who are trying to make sure nobody has to sleep hungry. ELF is a registered non-profit and has been working since day one of the pandemic for COVID relief.,https://fundraisers.giveindia.org/fundraisers/enrich-lives-foundation-is-fundraising-to-support-mumbais-poorest-families-in-covid-19-by-providing-food-and-medical-relief,0,https://www.enrichlivesfoundation.org,2,1 year,,"Migrant workers,poor",India,"Navi Mumbai, Mumbai, Thane",,YDaily Updateson Website,,,https://twitter.com/EnrichLivesFndn?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3AEnrichLivesFndn%7Ctwgr%5EeyJ0ZndfZXhwZXJpbWVudHNfY29va2llX2V4cGlyYXRpb24iOnsiYnVja2V0IjoxMjA5NjAwLCJ2ZXJzaW9uIjpudWxsfSwidGZ3X2hvcml6b25fdHdlZXRfZW1iZWRfOTU1NSI6eyJidWNrZXQiOiJodGUiLCJ2ZXJzaW9uIjpudWxsfSwidGZ3X3R3ZWV0X2VtYmVkX2NsaWNrYWJpbGl0eV8xMjEwMiI6eyJidWNrZXQiOiJjb250cm9sIiwidmVyc2lvbiI6bnVsbH0sInRmd190ZWFtX2hvbGRiYWNrXzExOTI5Ijp7ImJ1Y2tldCI6InByb2R1Y3Rpb24iLCJ2ZXJzaW9uIjo2fX0%3D&ref_url=https%3A%2F%2F1774625068-atari-embeds.googleusercontent.com%2Fembeds%2F16cb204cf3a9d4d223a0a3fd8b0eec5d%2Finner-frame-minified.html%3Fjsh%3Dm%253B%252F_%252Fscs%252Fapps-static%252F_%252Fjs%252Fk%253Doz.gapi.en_US.p7L79FLXQCw.O%252Fam%253DAQ%252Fd%253D1%252Frs%253DAGLTcCO6hl1EejjzC-wrWbDdgTxPi0Gs8g%252Fm%253D__features__,160|345,https://www.facebook.com/enrichlivesfoundation,669| ~300,Meal,Feed a family 575 Rs for10 days,"cooked_meal, ration_kit",575,"10,00,000+ meals distributed35,000+ Ration kits distributed",,Rs. 5.0 Cr+ worth of relief materialdistributed,13th July 2021,,
7,6,6,Enrich Lives Foundation,A,"Navi-Mumbai,Thane, cooked_meal,Ration-Kit,Poor, Migrant-Workers",Foundation,A non-profit group whose mission is to ensure that nobody goes to sleep hungry.,We are a group of volunteers who are trying to make sure nobody has to sleep hungry. ELF is a registered non-profit and has been working since day one of the pandemic for COVID relief.,https://fundraisers.giveindia.org/fundraisers/enrich-lives-foundation-is-fundraising-to-support-mumbais-poorest-families-in-covid-19-by-providing-food-and-medical-relief,1,https://www.enrichlivesfoundation.org,2,1 year,,"Migrant workers,poor",India,"Navi Mumbai, Mumbai, Thane",,YDaily Updateson Website,,,https://twitter.com/EnrichLivesFndn?ref_src=twsrc%5Etfw%7Ctwcamp%5Eembeddedtimeline%7Ctwterm%5Eprofile%3AEnrichLivesFndn%7Ctwgr%5EeyJ0ZndfZXhwZXJpbWVudHNfY29va2llX2V4cGlyYXRpb24iOnsiYnVja2V0IjoxMjA5NjAwLCJ2ZXJzaW9uIjpudWxsfSwidGZ3X2hvcml6b25fdHdlZXRfZW1iZWRfOTU1NSI6eyJidWNrZXQiOiJodGUiLCJ2ZXJzaW9uIjpudWxsfSwidGZ3X3R3ZWV0X2VtYmVkX2NsaWNrYWJpbGl0eV8xMjEwMiI6eyJidWNrZXQiOiJjb250cm9sIiwidmVyc2lvbiI6bnVsbH0sInRmd190ZWFtX2hvbGRiYWNrXzExOTI5Ijp7ImJ1Y2tldCI6InByb2R1Y3Rpb24iLCJ2ZXJzaW9uIjo2fX0%3D&ref_url=https%3A%2F%2F1774625068-atari-embeds.googleusercontent.com%2Fembeds%2F16cb204cf3a9d4d223a0a3fd8b0eec5d%2Finner-frame-minified.html%3Fjsh%3Dm%253B%252F_%252Fscs%252Fapps-static%252F_%252Fjs%252Fk%253Doz.gapi.en_US.p7L79FLXQCw.O%252Fam%253DAQ%252Fd%253D1%252Frs%253DAGLTcCO6hl1EejjzC-wrWbDdgTxPi0Gs8g%252Fm%253D__features__,160|345,https://www.facebook.com/enrichlivesfoundation,669| ~300,Meal,Feed a family 575 Rs for10 days,"cooked_meal, ration_kit",575,"10,00,000+ meals distributed35,000+ Ration kits distributed",,Rs. 5.0 Cr+ worth of relief materialdistributed,13th July 2021,,
8,7,7,Give2Asia,A,"Economically-challenged,Covid-patients,cooked_meal",Organization,"Give2Asia is a U.S.- based nonprofit organization that connects corporations, foundations, and individual donors with trusted local charities in 23 countries. Our mission is to strengthen communities in Asia by making cross-border giving accessible and more effective.","Give2Asia is a U.S.- based nonprofit organization that connects corporations, foundations, and individual donors with trusted local charities in 23 countries. Our mission is to strengthen communities in Asia by making cross-border giving easier and more effective. Give2Asia's team of grantmaking experts and in-country advisors enable you to give with confidence",https://give2asia.org/donate-coronavirus-fund/,0,https://give2asia.org/covid-19-pandemic-response-india/,1,20 years,,"poor, covid patients, economically challenged family",,,,Y,,,https://twitter.com/Give2Asia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2451|4001,,,Meal,,cooked_meal,,,,,June 2021,,
9,7,7,Give2Asia,A,"Economically-challenged,Covid-patients,cooked_meal",Organization,"Give2Asia is a U.S.- based nonprofit organization that connects corporations, foundations, and individual donors with trusted local charities in 23 countries. Our mission is to strengthen communities in Asia by making cross-border giving accessible and more effective.","Give2Asia is a U.S.- based nonprofit organization that connects corporations, foundations, and individual donors with trusted local charities in 23 countries. Our mission is to strengthen communities in Asia by making cross-border giving easier and more effective. Give2Asia's team of grantmaking experts and in-country advisors enable you to give with confidence",https://give2asia.org/donate-coronavirus-fund/,0,https://give2asia.org/covid-19-pandemic-response-india/,2,20 years,,"poor, covid patients, economically challenged family",,,,Y,,,https://twitter.com/Give2Asia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2451|4001,,,Meal,,cooked_meal,,,,,June 2021,,
10,7,7,Give2Asia,A,"Economically-challenged,Covid-patients,cooked_meal",Organization,"Give2Asia is a U.S.- based nonprofit organization that connects corporations, foundations, and individual donors with trusted local charities in 23 countries. Our mission is to strengthen communities in Asia by making cross-border giving accessible and more effective.","Give2Asia is a U.S.- based nonprofit organization that connects corporations, foundations, and individual donors with trusted local charities in 23 countries. Our mission is to strengthen communities in Asia by making cross-border giving easier and more effective. Give2Asia's team of grantmaking experts and in-country advisors enable you to give with confidence",https://give2asia.org/donate-coronavirus-fund/,0,https://give2asia.org/covid-19-pandemic-response-india/,0,20 years,,"poor, covid patients, economically challenged family",,,,Y,,,https://twitter.com/Give2Asia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,2451|4001,,,Meal,,cooked_meal,,,,,June 2021,,
